                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63859,                0.45755,                0.87819,                0.99445,                0.99954,                  0.995,                 0.8834,                0.59123,                0.34768,                0.84716,              0.0014426,              0.0014426,              0.0014426
                     37,                0.61277,                0.43683,                 0.8807,                0.99062,                      1,                  0.995,                0.87902,                0.60857,                0.33993,                0.86442,               0.001436,               0.001436,               0.001436
                     38,                0.60497,                0.42911,                0.87496,                0.98967,                0.99926,                  0.995,                0.86679,                0.56485,                  0.344,                0.85544,              0.0014294,              0.0014294,              0.0014294
                     39,                0.59446,                0.43063,                0.86766,                0.98177,                      1,                  0.995,                0.86192,                0.69631,                0.36726,                0.88588,              0.0014228,              0.0014228,              0.0014228
                     40,                0.57097,                0.40967,                0.86306,                0.97973,                      1,                  0.995,                0.87863,                0.62085,                0.35012,                0.85992,              0.0014161,              0.0014161,              0.0014161
                     41,                0.59652,                0.41812,                0.87712,                0.96297,                      1,                  0.995,                 0.8655,                0.58707,                 0.3503,                0.86547,              0.0014095,              0.0014095,              0.0014095
                     42,                0.61138,                0.42867,                0.87709,                0.99266,                0.99866,                  0.995,                0.87558,                0.58708,                0.33789,                0.85388,              0.0014029,              0.0014029,              0.0014029
                     43,                0.58653,                0.41489,                0.87053,                0.98698,                0.99726,                  0.995,                0.86625,                0.63171,                 0.3619,                0.87843,              0.0013963,              0.0013963,              0.0013963
                     44,                0.56907,                0.41595,                0.86158,                0.99086,                0.97436,                0.99438,                0.86976,                0.59818,                0.44336,                0.86986,              0.0013897,              0.0013897,              0.0013897
                     45,                0.60452,                0.42637,                0.87023,                 0.9783,                      1,                  0.995,                0.86787,                0.60734,                0.33733,                0.86574,              0.0013831,              0.0013831,              0.0013831
                     46,                0.58896,                0.40932,                0.87823,                0.99418,                      1,                  0.995,                0.87459,                0.61822,                0.34679,                0.86341,              0.0013765,              0.0013765,              0.0013765
                     47,                0.57045,                0.40075,                0.86771,                0.98417,                      1,                  0.995,                0.86279,                0.58786,                0.40903,                0.86089,              0.0013699,              0.0013699,              0.0013699
                     48,                0.57576,                0.40153,                0.85906,                0.99145,                      1,                  0.995,                0.88448,                0.59702,                0.30756,                0.86922,              0.0013633,              0.0013633,              0.0013633
                     49,                0.58066,                0.40785,                0.86696,                  0.993,                      1,                  0.995,                0.88775,                0.58338,                0.33916,                0.85544,              0.0013567,              0.0013567,              0.0013567
                     50,                0.56697,                0.38726,                0.86652,                0.99491,                      1,                  0.995,                0.87423,                0.58594,                0.31408,                0.84799,              0.0013501,              0.0013501,              0.0013501
                     51,                0.57767,                0.40017,                0.86552,                0.98726,                0.99964,                  0.995,                0.88182,                0.59549,                0.33917,                0.86484,              0.0013435,              0.0013435,              0.0013435
                     52,                0.54331,                 0.3776,                0.86859,                0.99198,                      1,                  0.995,                0.86784,                0.60988,                0.31254,                0.86352,              0.0013369,              0.0013369,              0.0013369
                     53,                0.57391,                 0.3954,                0.86533,                0.99544,                      1,                  0.995,                0.86853,                0.62132,                0.38493,                0.85292,              0.0013303,              0.0013303,              0.0013303
                     54,                0.55167,                0.37256,                0.85612,                 0.9964,                      1,                  0.995,                0.88316,                0.57141,                0.32735,                0.84753,              0.0013237,              0.0013237,              0.0013237
                     55,                0.56567,                0.38116,                0.85764,                0.98242,                0.99822,                  0.995,                0.86084,                0.61928,                0.33269,                0.86192,              0.0013171,              0.0013171,              0.0013171
                     56,                0.55773,                0.39104,                0.85237,                0.99135,                0.99818,                  0.995,                0.89924,                0.52388,                0.30129,                0.83902,              0.0013105,              0.0013105,              0.0013105
                     57,                0.54379,                0.37797,                0.85496,                 0.9855,                      1,                0.99475,                0.88984,                0.54137,                0.34199,                0.84689,              0.0013039,              0.0013039,              0.0013039
                     58,                0.52925,                0.36357,                0.84529,                0.99297,                      1,                  0.995,                0.89395,                0.52968,                0.29826,                0.84027,              0.0012973,              0.0012973,              0.0012973
                     59,                0.57341,                0.39425,                 0.8754,                0.99602,                      1,                  0.995,                0.89011,                0.54718,                0.29094,                0.84319,              0.0012907,              0.0012907,              0.0012907
                     60,                0.55199,                0.37128,                0.86214,                0.99221,                0.98914,                  0.995,                0.88848,                0.53804,                0.29543,                 0.8421,              0.0012841,              0.0012841,              0.0012841
                     61,                 0.5578,                0.37755,                 0.8619,                0.98209,                0.99793,                  0.995,                0.90972,                0.53449,                0.30459,                0.83092,              0.0012775,              0.0012775,              0.0012775
                     62,                0.52747,                 0.3662,                0.84167,                0.99728,                      1,                  0.995,                0.89715,                0.56226,                0.29522,                0.84274,              0.0012709,              0.0012709,              0.0012709
                     63,                0.52269,                0.35132,                0.85237,                0.99144,                      1,                  0.995,                0.88622,                0.53887,                0.28627,                0.84526,              0.0012643,              0.0012643,              0.0012643
                     64,                0.55117,                0.37417,                0.85874,                0.99621,                      1,                  0.995,                0.86832,                0.61644,                0.31531,                0.85181,              0.0012577,              0.0012577,              0.0012577
                     65,                0.55949,                0.37918,                0.86151,                0.99761,                0.98965,                  0.995,                0.90453,                0.54389,                0.31133,                0.83831,              0.0012511,              0.0012511,              0.0012511
                     66,                0.53664,                0.37611,                0.85621,                0.99582,                      1,                  0.995,                0.89286,                0.55048,                0.29772,                0.84112,              0.0012445,              0.0012445,              0.0012445
                     67,                0.53029,                0.36292,                0.84861,                0.99319,                0.99906,                  0.995,                0.88434,                0.55684,                0.32139,                0.84464,              0.0012379,              0.0012379,              0.0012379
                     68,                0.52695,                 0.3634,                0.84215,                0.99509,                0.99042,                  0.995,                0.88788,                0.56023,                0.31616,                0.84267,              0.0012313,              0.0012313,              0.0012313
                     69,                0.51961,                  0.369,                0.84933,                0.99689,                      1,                  0.995,                 0.8698,                0.58568,                0.29504,                0.86195,              0.0012247,              0.0012247,              0.0012247
                     70,                0.52843,                0.37288,                0.85763,                0.99609,                      1,                  0.995,                0.85878,                0.60612,                0.30906,                0.86921,              0.0012181,              0.0012181,              0.0012181
                     71,                0.53355,                 0.3621,                0.85143,                0.98371,                0.98718,                0.99475,                0.89578,                0.51726,                0.49191,                0.83936,              0.0012115,              0.0012115,              0.0012115
                     72,                0.56509,                0.36813,                0.85846,                0.99036,                0.99812,                  0.995,                 0.8838,                0.55162,                0.28261,                0.84161,              0.0012049,              0.0012049,              0.0012049
                     73,                0.52374,                0.34512,                0.85578,                0.99155,                      1,                  0.995,                0.91372,                0.55319,                0.26915,                0.83519,              0.0011983,              0.0011983,              0.0011983
                     74,                0.53416,                0.35105,                0.85753,                0.99429,                      1,                  0.995,                0.88602,                0.52344,                0.30157,                0.83842,              0.0011917,              0.0011917,              0.0011917
                     75,                0.54144,                0.36631,                0.85495,                0.99272,                 0.9987,                  0.995,                0.89568,                0.53808,                0.28214,                0.84526,              0.0011851,              0.0011851,              0.0011851
                     76,                0.50719,                 0.3457,                0.85626,                0.98935,                0.99851,                  0.995,                0.88375,                 0.5432,                0.28179,                0.84904,              0.0011785,              0.0011785,              0.0011785
                     77,                0.50922,                0.35201,                0.84651,                0.99196,                0.99815,                  0.995,                0.88151,                0.53502,                0.30719,                 0.8435,              0.0011719,              0.0011719,              0.0011719
                     78,                0.50891,                0.33944,                0.85709,                0.98892,                0.98566,                  0.995,                0.90145,                0.55057,                0.28994,                0.84063,              0.0011653,              0.0011653,              0.0011653
                     79,                0.51444,                0.34729,                 0.8487,                0.99486,                      1,                  0.995,                0.89744,                0.54845,                0.26206,                0.84506,              0.0011587,              0.0011587,              0.0011587
                     80,                0.49127,                0.33657,                0.83876,                0.99708,                      1,                  0.995,                 0.9059,                0.49642,                0.25923,                 0.8392,              0.0011521,              0.0011521,              0.0011521
                     81,                0.51193,                 0.3354,                0.84303,                0.99508,                0.98978,                  0.995,                0.88458,                0.56583,                0.29128,                 0.8429,              0.0011455,              0.0011455,              0.0011455
                     82,                0.50829,                0.33559,                 0.8501,                 0.9927,                0.99893,                  0.995,                0.90172,                0.54014,                0.28366,                 0.8499,              0.0011389,              0.0011389,              0.0011389
                     83,                  0.513,                0.34767,                0.85417,                0.98679,                  0.998,                  0.995,                0.88536,                0.56927,                0.28113,                0.87249,              0.0011323,              0.0011323,              0.0011323
                     84,                0.48144,                0.33765,                0.85119,                0.99481,                      1,                  0.995,                0.89147,                  0.545,                0.28827,                0.84595,              0.0011257,              0.0011257,              0.0011257
                     85,                0.51251,                0.34061,                0.84966,                0.99413,                      1,                  0.995,                0.88661,                0.57011,                0.28825,                0.85614,              0.0011191,              0.0011191,              0.0011191
                     86,                0.50589,                0.33434,                0.85484,                0.99242,                0.99942,                  0.995,                0.90522,                0.53553,                0.28204,                0.84159,              0.0011125,              0.0011125,              0.0011125
                     87,                0.49803,                0.34192,                 0.8575,                0.99573,                      1,                  0.995,                 0.8997,                0.55046,                0.25991,                0.84172,              0.0011059,              0.0011059,              0.0011059
                     88,                0.49809,                0.33172,                 0.8466,                 0.9948,                0.99829,                  0.995,                0.90742,                0.54131,                0.26927,                0.84637,              0.0010993,              0.0010993,              0.0010993
                     89,                0.51488,                0.33606,                0.84108,                0.99602,                      1,                  0.995,                0.90112,                0.56003,                 0.2785,                0.84367,              0.0010927,              0.0010927,              0.0010927
                     90,                0.52319,                0.34156,                 0.8475,                0.99554,                      1,                  0.995,                0.90117,                0.53568,                 0.2838,                0.85336,              0.0010861,              0.0010861,              0.0010861
                     91,                  0.489,                0.31986,                0.84249,                0.99059,                0.99756,                  0.995,                0.89566,                0.56009,                0.27688,                0.84804,              0.0010795,              0.0010795,              0.0010795
                     92,                0.48656,                0.30998,                0.84281,                0.99937,                      1,                  0.995,                0.91918,                0.51485,                0.28089,                0.83158,              0.0010729,              0.0010729,              0.0010729
                     93,                0.48123,                0.32575,                0.84411,                0.99733,                      1,                  0.995,                0.88824,                0.55634,                0.28025,                0.84636,              0.0010663,              0.0010663,              0.0010663
                     94,                 0.4798,                0.33093,                0.84546,                0.99426,                      1,                  0.995,                0.89401,                0.54693,                0.28296,                0.84562,              0.0010597,              0.0010597,              0.0010597
                     95,                0.48234,                0.31213,                0.83363,                0.99473,                0.99777,                  0.995,                0.89954,                0.53774,                0.26896,                0.83844,              0.0010531,              0.0010531,              0.0010531
                     96,                0.47346,                0.32503,                0.84168,                0.99407,                      1,                  0.995,                0.90709,                0.55835,                0.28354,                0.84829,              0.0010465,              0.0010465,              0.0010465
                     97,                0.47843,                0.33126,                0.84315,                0.99473,                      1,                  0.995,                0.90941,                 0.5108,                0.25742,                0.83447,              0.0010399,              0.0010399,              0.0010399
                     98,                0.49644,                0.32881,                0.84454,                0.99435,                      1,                  0.995,                0.89934,                0.55763,                0.28627,                0.83998,              0.0010333,              0.0010333,              0.0010333
                     99,                 0.4684,                0.30848,                0.83968,                0.99527,                      1,                  0.995,                0.88651,                0.55022,                0.27882,                0.83716,              0.0010267,              0.0010267,              0.0010267
                    100,                0.47904,                0.31338,                0.84515,                0.99603,                      1,                  0.995,                 0.8941,                0.52788,                0.25845,                  0.832,              0.0010201,              0.0010201,              0.0010201
                    101,                0.47531,                0.31375,                0.84526,                0.99754,                0.99857,                  0.995,                0.89854,                0.52418,                0.27942,                0.84079,              0.0010135,              0.0010135,              0.0010135
                    102,                0.47627,                0.30416,                0.84135,                0.99244,                0.99865,                  0.995,                 0.9022,                0.53056,                0.25946,                 0.8412,              0.0010069,              0.0010069,              0.0010069
                    103,                 0.4705,                0.30966,                0.83319,                  0.987,                      1,                  0.995,                0.91737,                0.53875,                0.26783,                0.84616,              0.0010003,              0.0010003,              0.0010003
                    104,                0.48764,                0.32117,                0.84684,                0.99416,                      1,                  0.995,                0.90425,                0.54832,                0.26999,                0.83746,             0.00099367,             0.00099367,             0.00099367
                    105,                0.47355,                0.30839,                 0.8451,                0.99407,                      1,                  0.995,                 0.9032,                0.52124,                0.26295,                0.83647,             0.00098706,             0.00098706,             0.00098706
                    106,                0.48674,                0.31355,                0.84239,                0.99577,                0.99949,                  0.995,                0.90082,                0.55094,                0.27385,                0.84126,             0.00098046,             0.00098046,             0.00098046
                    107,                0.47137,                0.31014,                0.83836,                0.99149,                0.99859,                  0.995,                0.89675,                0.53514,                0.25625,                 0.8474,             0.00097386,             0.00097386,             0.00097386
                    108,                0.46376,                0.30865,                0.83276,                0.98826,                0.99894,                  0.995,                0.88489,                0.53442,                 0.2686,                0.83854,             0.00096726,             0.00096726,             0.00096726
