                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.31801,                0.31084,                0.94044,                0.95947,                0.98684,                0.99284,                  0.986,                0.28094,                0.23999,                0.76067,              0.0017307,              0.0017307,              0.0017307
                     37,                0.31321,                 0.2896,                0.94102,                0.98363,                0.97368,                0.98625,                0.96192,                 0.2383,                0.23184,                0.68237,              0.0017228,              0.0017228,              0.0017228
                     38,                0.32006,                0.28803,                0.93689,                  0.987,                0.99866,                0.99409,                0.98221,                0.20323,                0.16505,                0.66083,              0.0017149,              0.0017149,              0.0017149
                     39,                0.29717,                0.26686,                0.93043,                0.99295,                0.98684,                0.99276,                0.98501,                0.21373,                0.20937,                0.68405,               0.001707,               0.001707,               0.001707
                     40,                0.28027,                 0.2657,                0.93085,                0.98493,                0.98684,                0.99396,                0.98455,                0.25908,                0.22818,                0.73674,               0.001699,               0.001699,               0.001699
                     41,                0.29971,                 0.2706,                0.93388,                0.99761,                0.98684,                0.99309,                0.97835,                0.23988,                 0.2521,                0.69285,              0.0016911,              0.0016911,              0.0016911
                     42,                0.29594,                0.27126,                0.93208,                0.71195,                 0.9106,                0.86378,                0.69158,                0.96866,                 1.7334,                 1.1338,              0.0016832,              0.0016832,              0.0016832
                     43,                0.29463,                0.26674,                0.93957,                0.99859,                0.96053,                0.99203,                0.96913,                0.17415,                0.23611,                0.66312,              0.0016753,              0.0016753,              0.0016753
                     44,                0.28506,                0.25738,                0.92626,                 0.9729,                0.98684,                0.99115,                0.97556,                0.17993,                0.20147,                0.64809,              0.0016674,              0.0016674,              0.0016674
                     45,                 0.2838,                0.26718,                0.92871,                0.98574,                0.97368,                 0.9886,                0.97879,                0.19317,                0.35823,                0.66022,              0.0016594,              0.0016594,              0.0016594
                     46,                0.27659,                0.26353,                0.92102,                0.97367,                0.97309,                0.99275,                 0.9801,                0.16137,                0.21312,                0.64376,              0.0016515,              0.0016515,              0.0016515
                     47,                0.27485,                 0.2659,                0.92391,                0.98626,                0.97368,                0.99366,                0.98265,                0.19769,                0.21166,                0.65336,              0.0016436,              0.0016436,              0.0016436
                     48,                0.27103,                0.25635,                0.92252,                0.98589,                0.98684,                 0.9936,                0.98653,                0.15565,                0.16078,                0.62937,              0.0016357,              0.0016357,              0.0016357
                     49,                0.28874,                0.26503,                0.93471,                 0.9785,                      1,                0.99474,                0.98283,                0.27341,                0.23753,                0.68794,              0.0016278,              0.0016278,              0.0016278
                     50,                 0.2741,                0.26201,                0.92449,                0.99619,                0.98684,                0.99474,                0.98745,                0.15734,                0.17757,                0.63609,              0.0016198,              0.0016198,              0.0016198
                     51,                0.27874,                0.25187,                0.92785,                0.99886,                0.97368,                0.98979,                 0.9789,                0.24237,                0.31035,                0.70901,              0.0016119,              0.0016119,              0.0016119
                     52,                0.27046,                0.26057,                0.91988,                0.98187,                0.98684,                0.99462,                0.98716,                0.14457,                0.16357,                0.61737,               0.001604,               0.001604,               0.001604
                     53,                0.27291,                0.25243,                0.92387,                0.99271,                0.98684,                0.99374,                0.98654,                0.21026,                 0.3885,                 0.6603,              0.0015961,              0.0015961,              0.0015961
                     54,                0.27925,                0.25918,                 0.9242,                 0.9991,                0.98684,                  0.993,                0.98585,                 0.1855,                0.18058,                0.65432,              0.0015882,              0.0015882,              0.0015882
                     55,                0.27393,                0.24609,                0.92124,                0.97374,                      1,                0.99356,                0.98307,                0.19317,                0.23566,                0.64578,              0.0015802,              0.0015802,              0.0015802
                     56,                0.27388,                0.24839,                0.92445,                0.98423,                0.98684,                0.99328,                0.98778,                0.16882,                0.19868,                0.63557,              0.0015723,              0.0015723,              0.0015723
                     57,                0.25879,                0.24615,                0.91589,                0.97432,                      1,                0.99461,                0.99002,                0.19286,                0.20436,                0.65651,              0.0015644,              0.0015644,              0.0015644
                     58,                0.25916,                 0.2352,                0.92018,                0.98697,                0.99638,                0.99487,                0.98889,                0.17637,                 0.1595,                0.65535,              0.0015565,              0.0015565,              0.0015565
                     59,                0.25684,                0.23821,                0.91604,                0.98551,                0.98684,                0.99448,                0.98787,                0.22599,                0.21138,                0.68409,              0.0015486,              0.0015486,              0.0015486
                     60,                0.25901,                 0.2319,                0.91632,                0.97435,                0.99976,                0.99449,                0.99162,                0.12449,                0.11431,                0.60878,              0.0015406,              0.0015406,              0.0015406
                     61,                0.25508,                0.22719,                0.91009,                0.99815,                0.98684,                0.99405,                0.98509,                0.18034,                0.22527,                0.64589,              0.0015327,              0.0015327,              0.0015327
                     62,                0.25911,                0.23841,                0.91627,                0.94213,                0.96053,                0.99117,                0.97928,                  0.177,                0.40297,                0.64983,              0.0015248,              0.0015248,              0.0015248
                     63,                0.25765,                0.24311,                0.91535,                0.99183,                0.98684,                0.99474,                0.98074,                0.15334,                 0.1664,                0.62855,              0.0015169,              0.0015169,              0.0015169
                     64,                0.25327,                0.22752,                0.91821,                0.98753,                0.98684,                0.99474,                0.98924,                0.19748,                 0.1741,                 0.6596,               0.001509,               0.001509,               0.001509
                     65,                0.25162,                0.22738,                0.91475,                0.99863,                0.98684,                0.98863,                0.98004,                0.18323,                0.15272,                0.64958,               0.001501,               0.001501,               0.001501
                     66,                0.26401,                0.23423,                0.91782,                0.96097,                 0.9719,                0.98967,                0.97944,                0.15311,                0.19052,                0.63932,              0.0014931,              0.0014931,              0.0014931
                     67,                0.26038,                0.24006,                0.91357,                0.97384,                0.98684,                0.99274,                0.98554,                 0.1988,                0.18364,                0.66961,              0.0014852,              0.0014852,              0.0014852
                     68,                0.25805,                0.23398,                0.91583,                0.97388,                      1,                0.99358,                0.98579,                0.11904,                0.11081,                0.61124,              0.0014773,              0.0014773,              0.0014773
                     69,                0.23941,                0.22413,                0.90736,                0.99794,                0.98684,                0.99474,                0.98744,                0.14562,                0.14002,                0.62247,              0.0014694,              0.0014694,              0.0014694
                     70,                0.23031,                0.21102,                0.90596,                0.99532,                0.98684,                0.99128,                0.98432,                0.15899,                0.13247,                0.65168,              0.0014614,              0.0014614,              0.0014614
                     71,                0.24206,                0.22932,                0.90841,                0.99758,                0.98684,                0.99474,                0.98871,                0.17239,                0.24719,                0.63455,              0.0014535,              0.0014535,              0.0014535
                     72,                0.23695,                0.22859,                0.90586,                0.97175,                      1,                0.99422,                0.98624,                 0.1494,                0.14212,                 0.6335,              0.0014456,              0.0014456,              0.0014456
                     73,                0.24529,                0.22565,                0.90914,                0.97402,                      1,                0.99474,                0.98921,                0.13866,                0.15709,                0.62487,              0.0014377,              0.0014377,              0.0014377
                     74,                0.23934,                 0.2258,                0.90791,                0.99767,                0.98684,                0.99487,                0.98807,                0.13851,                0.14814,                0.62163,              0.0014298,              0.0014298,              0.0014298
                     75,                 0.2588,                0.23409,                0.91199,                0.97398,                0.98684,                 0.9945,                0.98541,                0.15298,                0.53693,                0.62723,              0.0014218,              0.0014218,              0.0014218
                     76,                0.23226,                0.21911,                 0.9082,                0.99382,                0.98684,                0.99474,                0.98879,                0.15235,                 0.1898,                0.63658,              0.0014139,              0.0014139,              0.0014139
                     77,                0.23389,                0.22164,                0.90527,                0.97427,                      1,                0.99474,                0.98764,                0.17275,                0.16529,                0.64448,               0.001406,               0.001406,               0.001406
                     78,                0.24092,                0.23037,                0.91331,                0.97339,                      1,                0.99346,                0.99122,                0.14769,                0.13413,                0.62594,              0.0013981,              0.0013981,              0.0013981
                     79,                0.24337,                0.21762,                0.90631,                0.98638,                0.98684,                0.99474,                0.98727,                0.19962,                0.18159,                0.65347,              0.0013902,              0.0013902,              0.0013902
                     80,                0.23514,                0.21616,                0.89852,                0.97422,                      1,                0.99409,                0.98855,                0.16025,                0.15077,                0.62792,              0.0013822,              0.0013822,              0.0013822
                     81,                0.23483,                0.21887,                0.90061,                0.97402,                      1,                0.99461,                  0.989,                0.17496,                0.16125,                0.62953,              0.0013743,              0.0013743,              0.0013743
                     82,                0.23537,                 0.2266,                0.90615,                0.99195,                0.98684,                0.99474,                0.98612,                0.19119,                0.16502,                0.66911,              0.0013664,              0.0013664,              0.0013664
                     83,                0.22852,                0.21385,                0.89962,                0.97319,                      1,                0.99448,                 0.9886,                0.12422,                0.18417,                0.61745,              0.0013585,              0.0013585,              0.0013585
                     84,                 0.2346,                0.21208,                0.89949,                  0.987,                0.99889,                0.99487,                0.98788,                  0.137,                0.14972,                0.61612,              0.0013506,              0.0013506,              0.0013506
                     85,                0.23243,                0.21176,                0.90002,                0.98578,                0.98684,                0.99438,                0.98954,                0.14269,                0.14102,                0.62063,              0.0013426,              0.0013426,              0.0013426
                     86,                0.22246,                0.20506,                0.89397,                0.97435,                0.99952,                0.99344,                0.98322,                0.13304,                0.12689,                0.61672,              0.0013347,              0.0013347,              0.0013347
                     87,                 0.2238,                0.21418,                 0.9004,                0.97435,                0.99949,                0.99395,                0.98841,                0.13295,                0.18326,                0.61982,              0.0013268,              0.0013268,              0.0013268
                     88,                0.22068,                0.20129,                0.89159,                0.97772,                      1,                0.99409,                0.98744,                0.15306,                0.14462,                0.62779,              0.0013189,              0.0013189,              0.0013189
                     89,                0.22252,                0.20981,                0.90325,                 0.9835,                0.98684,                0.99425,                0.98824,                0.12703,                0.11819,                0.61169,               0.001311,               0.001311,               0.001311
                     90,                  0.235,                 0.2229,                0.90409,                0.99729,                0.98684,                0.99462,                0.98569,                0.12635,                  0.157,                0.62468,               0.001303,               0.001303,               0.001303
                     91,                0.22791,                0.21338,                0.90392,                0.97775,                0.98684,                0.99359,                0.98348,                0.18001,                 0.1354,                 0.6463,              0.0012951,              0.0012951,              0.0012951
                     92,                0.22671,                 0.2106,                0.89792,                0.97376,                      1,                0.99474,                0.98485,                0.14899,                0.13095,                0.63147,              0.0012872,              0.0012872,              0.0012872
                     93,                0.24347,                0.21901,                0.90453,                 0.9984,                0.98684,                0.99405,                0.99152,                0.15256,                0.14532,                0.63856,              0.0012793,              0.0012793,              0.0012793
                     94,                0.23252,                0.21055,                0.91092,                0.99654,                0.98684,                0.99474,                0.98743,                 0.1455,                0.12349,                 0.6257,              0.0012714,              0.0012714,              0.0012714
                     95,                0.22311,                 0.2135,                0.90296,                0.98683,                0.98629,                0.99412,                0.98123,                 0.1318,                0.13006,                0.62274,              0.0012634,              0.0012634,              0.0012634
                     96,                0.22432,                0.21309,                 0.8904,                0.97381,                      1,                0.99422,                0.98737,                0.19202,                 0.1451,                0.64562,              0.0012555,              0.0012555,              0.0012555
                     97,                0.22379,                0.20609,                0.90332,                0.99783,                0.98684,                0.99487,                0.98896,                 0.1345,                0.10901,                0.62368,              0.0012476,              0.0012476,              0.0012476
                     98,                0.21335,                0.20126,                0.89213,                0.98695,                0.99505,                0.99461,                0.98922,                0.13049,                0.12722,                0.60964,              0.0012397,              0.0012397,              0.0012397
                     99,                0.22125,                0.20106,                 0.8998,                0.99493,                0.98684,                 0.9945,                 0.9876,                0.12678,                0.13317,                0.61189,              0.0012318,              0.0012318,              0.0012318
                    100,                0.21207,                0.20046,                 0.8933,                0.97386,                      1,                0.99474,                0.98806,                0.14305,                0.15888,                 0.6242,              0.0012238,              0.0012238,              0.0012238
                    101,                0.21809,                 0.1916,                0.89277,                 0.9858,                0.98684,                0.99474,                0.98578,                0.16271,                0.15367,                0.63376,              0.0012159,              0.0012159,              0.0012159
                    102,                0.20856,                 0.1905,                0.89609,                0.99485,                0.98684,                0.99474,                0.98618,                0.16695,                0.17545,                0.63904,               0.001208,               0.001208,               0.001208
                    103,                0.21333,                0.19522,                0.89117,                0.97405,                      1,                0.99474,                0.98705,                0.14854,                0.14593,                0.62406,              0.0012001,              0.0012001,              0.0012001
                    104,                0.20401,                0.19449,                0.88808,                0.97386,                      1,                0.99356,                0.98799,                0.12691,                 0.1664,                0.61882,              0.0011922,              0.0011922,              0.0011922
                    105,                0.21214,                0.19449,                0.89694,                0.99443,                0.98684,                 0.9945,                0.99162,                0.11924,                0.12126,                0.60658,              0.0011842,              0.0011842,              0.0011842
                    106,                0.20987,                0.19599,                0.89173,                0.99733,                0.98684,                 0.9896,                0.98566,                0.17092,                0.19942,                0.66649,              0.0011763,              0.0011763,              0.0011763
                    107,                0.20772,                0.18523,                0.88941,                0.99889,                0.98684,                0.98956,                0.98284,                0.15769,                0.16089,                0.63345,              0.0011684,              0.0011684,              0.0011684
                    108,                0.20682,                0.19099,                0.89518,                0.99739,                0.98684,                0.99474,                 0.9895,                0.14535,                0.12558,                0.62528,              0.0011605,              0.0011605,              0.0011605
                    109,                 0.2111,                0.19292,                0.88888,                0.99916,                0.98684,                0.99187,                0.98522,                 0.1345,                0.12816,                0.61556,              0.0011526,              0.0011526,              0.0011526
                    110,                0.20617,                0.19769,                0.89431,                0.99052,                0.98684,                0.99474,                0.98791,                0.12762,                0.12029,                0.62403,              0.0011446,              0.0011446,              0.0011446
                    111,                0.19872,                0.18695,                0.88597,                  0.974,                      1,                0.99409,                0.99081,                0.11595,                0.13984,                0.60184,              0.0011367,              0.0011367,              0.0011367
                    112,                0.19386,                0.18325,                  0.884,                0.98699,                0.99836,                0.99487,                0.98473,                  0.152,                0.13364,                0.63545,              0.0011288,              0.0011288,              0.0011288
                    113,                0.20473,                0.19395,                 0.8898,                0.99783,                0.98684,                0.99364,                0.98521,                0.15008,                0.11622,                0.63423,              0.0011209,              0.0011209,              0.0011209
                    114,                0.19856,                0.18922,                0.88724,                0.97433,                0.99887,                0.99474,                0.99015,                0.11564,                0.11444,                0.61445,               0.001113,               0.001113,               0.001113
                    115,                0.19477,                0.18637,                0.89319,                0.99736,                0.98684,                0.99438,                0.98863,                0.12402,                0.16524,                0.61848,               0.001105,               0.001105,               0.001105
