                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.49121,                0.33273,                0.85094,                0.97055,                 0.9987,                 0.9844,                0.93346,                   0.39,                0.27927,                0.82259,               0.008614,               0.008614,               0.008614
                     38,                0.47854,                0.34144,                0.84084,                0.99924,                 0.9697,                0.99412,                0.93366,                0.42959,                0.33634,                0.83201,              0.0085744,              0.0085744,              0.0085744
                     39,                0.47328,                0.32958,                0.84415,                0.99239,                 0.9697,                0.99397,                0.93145,                0.39925,                0.28776,                0.82653,              0.0085348,              0.0085348,              0.0085348
                     40,                0.48085,                0.33646,                0.84258,                0.96979,                      1,                0.99412,                0.93505,                0.39748,                0.26087,                0.82802,              0.0084952,              0.0084952,              0.0084952
                     41,                0.47034,                 0.3261,                0.84172,                0.98258,                      1,                0.99455,                  0.924,                0.39486,                0.28016,                0.82954,              0.0084556,              0.0084556,              0.0084556
                     42,                0.46786,                0.33086,                0.84589,                0.98346,                0.98485,                0.99346,                0.92597,                0.37642,                0.27055,                0.82419,               0.008416,               0.008416,               0.008416
                     43,                0.46837,                0.32101,                0.84739,                0.96878,                      1,                0.99382,                0.93346,                 0.3819,                0.27073,                0.82773,              0.0083764,              0.0083764,              0.0083764
                     44,                 0.4758,                0.32786,                0.84408,                0.97056,                0.99895,                 0.9848,                 0.9232,                0.36549,                 0.2547,                0.82425,              0.0083368,              0.0083368,              0.0083368
                     45,                0.47008,                0.32807,                0.84436,                0.98505,                0.99823,                0.98784,                0.92136,                0.33838,                0.25772,                0.82418,              0.0082972,              0.0082972,              0.0082972
                     46,                0.47248,                0.32289,                0.84699,                0.98083,                      1,                0.98015,                0.92336,                0.38561,                0.26779,                0.82887,              0.0082576,              0.0082576,              0.0082576
                     47,                0.44925,                0.31468,                0.84586,                0.97886,                      1,                0.98291,                0.91404,                0.35739,                0.32185,                 0.8216,               0.008218,               0.008218,               0.008218
                     48,                0.44892,                 0.3144,                0.83715,                0.99873,                      1,                  0.995,                0.94148,                0.38379,                0.24176,                0.81824,              0.0081784,              0.0081784,              0.0081784
                     49,                0.45399,                0.31793,                0.84139,                0.96996,                      1,                0.99016,                0.94204,                 0.4055,                0.27048,                0.82349,              0.0081388,              0.0081388,              0.0081388
                     50,                0.44397,                0.31179,                0.83545,                0.98434,                      1,                0.99455,                0.95003,                0.35872,                0.25236,                0.81926,              0.0080992,              0.0080992,              0.0080992
                     51,                0.44093,                0.30879,                0.83805,                0.96825,                0.98485,                0.97964,                0.94214,                 0.3417,                 0.2585,                0.81683,              0.0080596,              0.0080596,              0.0080596
                     52,                0.44083,                 0.3136,                0.83504,                0.98507,                0.99997,                0.99455,                0.94955,                0.34316,                0.23314,                0.81916,                0.00802,                0.00802,                0.00802
                     53,                0.42653,                0.29591,                 0.8297,                0.98496,                0.99222,                0.99485,                0.95135,                0.34146,                0.23405,                0.81632,              0.0079804,              0.0079804,              0.0079804
                     54,                0.45127,                0.31936,                0.84298,                0.98397,                0.98485,                0.99471,                0.95213,                  0.337,                0.26804,                0.81209,              0.0079408,              0.0079408,              0.0079408
                     55,                 0.4444,                0.30396,                 0.8397,                0.98435,                      1,                0.98858,                0.95544,                0.34576,                0.24175,                0.82564,              0.0079012,              0.0079012,              0.0079012
                     56,                0.45879,                0.31222,                0.83857,                  0.984,                      1,                0.99455,                0.94037,                0.37391,                0.24698,                0.81675,              0.0078616,              0.0078616,              0.0078616
                     57,                0.44044,                0.30387,                0.84212,                0.98362,                      1,                0.99455,                0.94366,                0.35931,                0.22188,                0.82141,               0.007822,               0.007822,               0.007822
                     58,                0.42949,                0.29768,                0.83157,                0.99981,                0.98485,                0.99485,                0.94717,                0.34406,                0.24535,                0.82198,              0.0077824,              0.0077824,              0.0077824
                     59,                0.43008,                 0.2964,                0.83637,                0.98421,                      1,                0.99485,                0.95118,                0.32807,                0.22673,                0.81872,              0.0077428,              0.0077428,              0.0077428
                     60,                0.42721,                0.29705,                0.83452,                0.97051,                0.99745,                0.98596,                0.94928,                0.33032,                0.25008,                0.81373,              0.0077032,              0.0077032,              0.0077032
                     61,                0.42322,                0.29421,                 0.8332,                0.96867,                      1,                  0.975,                0.93788,                0.33536,                0.22738,                0.81398,              0.0076636,              0.0076636,              0.0076636
                     62,                0.43081,                0.29377,                 0.8411,                0.98374,                      1,                0.99485,                0.96364,                0.34951,                0.22424,                0.81905,               0.007624,               0.007624,               0.007624
                     63,                0.41811,                0.28488,                0.82546,                0.99341,                      1,                  0.995,                0.95178,                0.35688,                0.21765,                0.82169,              0.0075844,              0.0075844,              0.0075844
                     64,                0.43261,                0.29256,                0.83775,                0.98138,                      1,                0.98619,                0.92957,                0.36904,                0.22745,                0.82075,              0.0075448,              0.0075448,              0.0075448
                     65,                0.42587,                 0.2953,                0.83176,                 0.9684,                      1,                0.98955,                 0.9469,                0.35145,                0.24488,                0.81621,              0.0075052,              0.0075052,              0.0075052
                     66,                  0.418,                0.28737,                0.83964,                0.98754,                0.98485,                0.99471,                0.96305,                0.35506,                0.21317,                0.81506,              0.0074656,              0.0074656,              0.0074656
                     67,                0.42355,                0.28761,                0.83873,                0.96978,                      1,                0.98046,                 0.9468,                0.32476,                0.22552,                0.81295,               0.007426,               0.007426,               0.007426
                     68,                0.41851,                0.28225,                0.83599,                0.98145,                      1,                0.98157,                0.94301,                0.31375,                0.21621,                 0.8146,              0.0073864,              0.0073864,              0.0073864
                     69,                0.40412,                0.27626,                0.83216,                0.97056,                0.99904,                0.98935,                0.95463,                0.34098,                0.23428,                0.81482,              0.0073468,              0.0073468,              0.0073468
                     70,                 0.4139,                0.28356,                0.82787,                0.96961,                      1,                0.99152,                0.96113,                0.33143,                0.23991,                0.81715,              0.0073072,              0.0073072,              0.0073072
                     71,                0.41396,                0.27991,                0.83664,                0.98483,                0.98368,                0.99426,                0.95675,                0.31504,                0.23149,                0.81395,              0.0072676,              0.0072676,              0.0072676
                     72,                0.41632,                0.28581,                0.83809,                0.97059,                      1,                0.98656,                0.95899,                0.34461,                0.23041,                0.81482,               0.007228,               0.007228,               0.007228
                     73,                 0.4154,                0.28562,                  0.836,                0.98507,                0.99969,                0.99485,                0.96688,                0.32603,                 0.2011,                0.81999,              0.0071884,              0.0071884,              0.0071884
                     74,                0.40193,                0.27694,                0.82706,                0.96999,                      1,                 0.9944,                0.94947,                0.33411,                0.22668,                0.81767,              0.0071488,              0.0071488,              0.0071488
                     75,                0.39575,                0.27051,                0.83508,                 0.9977,                      1,                  0.995,                 0.9546,                0.34284,                0.20654,                0.81411,              0.0071092,              0.0071092,              0.0071092
                     76,                0.39983,                0.27137,                0.82808,                0.98439,                      1,                  0.995,                0.96632,                0.31678,                 0.2124,                0.80722,              0.0070696,              0.0070696,              0.0070696
                     77,                0.40208,                0.27619,                0.82471,                0.99763,                0.98485,                0.99485,                0.95677,                0.33138,                 0.2264,                0.80928,                0.00703,                0.00703,                0.00703
                     78,                0.40178,                0.27586,                0.83128,                0.98428,                      1,                0.99455,                0.94558,                0.37499,                0.22607,                0.81464,              0.0069904,              0.0069904,              0.0069904
                     79,                0.39659,                0.27671,                0.82672,                0.97059,                      1,                 0.9875,                 0.9518,                 0.3276,                0.22158,                0.81449,              0.0069508,              0.0069508,              0.0069508
                     80,                0.40537,                0.27309,                0.82741,                0.98506,                0.99918,                0.99007,                0.95315,                0.34524,                0.22346,                0.81691,              0.0069112,              0.0069112,              0.0069112
                     81,                0.39684,                0.27496,                  0.825,                0.99911,                0.98485,                0.99485,                0.96849,                0.32355,                0.22358,                0.80975,              0.0068716,              0.0068716,              0.0068716
                     82,                0.39677,                0.26974,                0.83208,                0.97059,                      1,                0.99412,                0.96494,                0.32523,                0.26581,                0.81082,               0.006832,               0.006832,               0.006832
                     83,                0.40457,                0.27449,                0.83487,                0.97042,                      1,                 0.9841,                0.95463,                 0.3278,                0.21292,                0.81242,              0.0067924,              0.0067924,              0.0067924
                     84,                0.39152,                0.26578,                  0.828,                0.97623,                      1,                0.99396,                0.95702,                0.32173,                0.21478,                 0.8112,              0.0067528,              0.0067528,              0.0067528
                     85,                0.40055,                0.27486,                0.82507,                 0.9697,                      1,                0.99349,                0.96337,                0.31978,                0.21199,                0.81308,              0.0067132,              0.0067132,              0.0067132
                     86,                0.39714,                0.26842,                0.81787,                0.98502,                0.99641,                0.98037,                0.93598,                0.32736,                0.20988,                0.80982,              0.0066736,              0.0066736,              0.0066736
                     87,                0.39909,                 0.2666,                0.82685,                0.98413,                      1,                0.99485,                0.96645,                0.32107,                0.19711,                0.81135,               0.006634,               0.006634,               0.006634
                     88,                0.39578,                0.27038,                0.82577,                0.98506,                0.99931,                0.99037,                0.95781,                0.30478,                0.19685,                0.80749,              0.0065944,              0.0065944,              0.0065944
                     89,                0.38818,                0.26338,                0.83021,                0.98506,                0.99919,                0.99455,                0.96848,                 0.3077,                0.20539,                0.81156,              0.0065548,              0.0065548,              0.0065548
                     90,                0.39354,                 0.2639,                0.83308,                0.98506,                0.99935,                0.99306,                0.95927,                0.30753,                0.19958,                0.80894,              0.0065152,              0.0065152,              0.0065152
                     91,                0.38665,                0.26162,                0.82144,                      1,                0.95455,                  0.977,                0.93617,                0.31217,                 0.3274,                0.80667,              0.0064756,              0.0064756,              0.0064756
                     92,                0.38671,                0.26109,                0.82614,                 0.9698,                      1,                0.99198,                0.95735,                0.32766,                0.20987,                0.81377,               0.006436,               0.006436,               0.006436
                     93,                0.38139,                0.25725,                0.83347,                      1,                0.99695,                  0.995,                0.96337,                0.30652,                 0.2264,                0.80692,              0.0063964,              0.0063964,              0.0063964
                     94,                0.38631,                0.26603,                0.82885,                0.99726,                0.98485,                0.99457,                0.96901,                0.30714,                0.18884,                0.80982,              0.0063568,              0.0063568,              0.0063568
                     95,                0.37935,                0.25424,                0.82221,                0.97059,                      1,                 0.9944,                0.95642,                0.31592,                0.19122,                0.81156,              0.0063172,              0.0063172,              0.0063172
                     96,                0.39162,                0.26581,                0.82481,                0.98423,                0.98485,                0.99108,                0.96301,                0.30256,                0.20844,                0.80577,              0.0062776,              0.0062776,              0.0062776
                     97,                0.37073,                0.25634,                0.83317,                0.96974,                      1,                 0.9844,                0.96072,                0.31868,                0.20307,                0.80983,               0.006238,               0.006238,               0.006238
                     98,                0.37763,                0.25645,                0.82637,                0.96977,                      1,                0.98752,                0.95671,                0.30285,                 0.2072,                0.80681,              0.0061984,              0.0061984,              0.0061984
