                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.3556,                0.29225,                0.97714,                0.97577,                0.97412,                0.99207,                0.95398,                0.31748,                0.26793,                 0.6943,              0.0017307,              0.0017307,              0.0017307
                     37,                0.34676,                0.28166,                0.97265,                0.98326,                      1,                 0.9946,                0.95563,                0.32478,                 0.2527,                0.69776,              0.0017228,              0.0017228,              0.0017228
                     38,                0.33809,                0.27551,                0.96964,                0.99675,                0.98387,                0.99476,                0.95721,                0.28452,                0.26484,                0.65205,              0.0017149,              0.0017149,              0.0017149
                     39,                0.32813,                0.26511,                 0.9619,                0.99881,                0.98387,                0.99492,                0.93947,                0.38163,                0.27025,                0.75246,               0.001707,               0.001707,               0.001707
                     40,                0.34594,                0.27351,                0.97433,                0.94885,                0.94355,                0.97753,                0.88937,                0.53398,                0.43584,                0.90309,               0.001699,               0.001699,               0.001699
                     41,                0.33192,                0.26677,                 0.9654,                      1,                0.99947,                  0.995,                0.97081,                0.26833,                0.19915,                0.64303,              0.0016911,              0.0016911,              0.0016911
                     42,                0.33887,                0.27255,                0.97091,                0.96788,                0.95968,                 0.9912,                0.96131,                0.29675,                0.28735,                0.67266,              0.0016832,              0.0016832,              0.0016832
                     43,                0.33333,                0.26595,                0.96337,                0.99177,                0.97204,                0.99366,                0.95968,                0.29275,                0.26011,                 0.6765,              0.0016753,              0.0016753,              0.0016753
                     44,                0.32918,                0.26092,                0.96057,                0.99793,                0.96774,                0.99266,                0.95109,                0.34484,                0.28207,                0.72942,              0.0016674,              0.0016674,              0.0016674
                     45,                0.32263,                0.25885,                0.95378,                 0.9756,                0.96738,                0.98391,                0.94725,                0.38143,                0.34206,                0.75229,              0.0016594,              0.0016594,              0.0016594
                     46,                0.32169,                 0.2613,                0.96461,                0.96834,                0.98649,                 0.9942,                0.96407,                0.30971,                0.27311,                0.68254,              0.0016515,              0.0016515,              0.0016515
                     47,                0.31413,                0.25765,                0.95803,                      1,                0.99761,                  0.995,                0.96422,                0.30548,                0.24764,                0.67762,              0.0016436,              0.0016436,              0.0016436
                     48,                0.32999,                0.26258,                 0.9573,                0.94064,                 0.8871,                0.95185,                0.90822,                0.33289,                0.46642,                0.71006,              0.0016357,              0.0016357,              0.0016357
                     49,                 0.3083,                0.25328,                0.95149,                0.99969,                0.99194,                  0.995,                0.96079,                0.29274,                0.22553,                0.64671,              0.0016278,              0.0016278,              0.0016278
                     50,                0.30784,                0.24469,                0.94798,                0.99566,                0.98387,                0.99476,                0.96933,                 0.2925,                0.23933,                0.66199,              0.0016198,              0.0016198,              0.0016198
                     51,                0.31986,                0.25229,                0.96066,                0.98926,                      1,                0.99492,                  0.961,                0.29565,                0.22564,                0.67948,              0.0016119,              0.0016119,              0.0016119
                     52,                0.31426,                0.24911,                0.95393,                0.97996,                0.97581,                0.99311,                0.95521,                0.25563,                0.26039,                0.63082,               0.001604,               0.001604,               0.001604
                     53,                0.31322,                0.25551,                0.95767,                0.99199,                0.99859,                0.99492,                0.95389,                 0.3375,                0.22179,                0.72605,              0.0015961,              0.0015961,              0.0015961
                     54,                0.30128,                0.24447,                0.94047,                      1,                0.98979,                  0.995,                0.97634,                0.24425,                0.21462,                 0.6255,              0.0015882,              0.0015882,              0.0015882
                     55,                0.29579,                0.23264,                0.94465,                0.99576,                0.99194,                  0.995,                0.95352,                0.32283,                 0.2766,                0.70535,              0.0015802,              0.0015802,              0.0015802
                     56,                0.29625,                0.23777,                0.94578,                      1,                0.99877,                  0.995,                0.97384,                0.25329,                0.21289,                0.63317,              0.0015723,              0.0015723,              0.0015723
                     57,                0.30923,                0.24414,                0.95104,                      1,                0.99865,                  0.995,                0.96696,                0.29395,                0.21085,                0.65088,              0.0015644,              0.0015644,              0.0015644
                     58,                0.30223,                0.24308,                0.94527,                      1,                0.99821,                  0.995,                0.97456,                0.27933,                0.21521,                0.68619,              0.0015565,              0.0015565,              0.0015565
                     59,                0.29194,                0.23173,                0.93622,                0.99787,                      1,                  0.995,                0.96858,                0.28212,                0.20708,                 0.6596,              0.0015486,              0.0015486,              0.0015486
                     60,                0.29271,                0.23551,                0.94032,                      1,                0.99071,                  0.995,                0.96335,                0.27695,                0.21633,                0.65279,              0.0015406,              0.0015406,              0.0015406
                     61,                0.31111,                0.25101,                0.94847,                0.99628,                      1,                  0.995,                0.97719,                0.28018,                0.22178,                0.64538,              0.0015327,              0.0015327,              0.0015327
                     62,                0.29876,                0.23044,                0.94632,                0.99903,                0.98387,                0.99425,                0.95735,                0.30074,                0.23242,                0.67063,              0.0015248,              0.0015248,              0.0015248
                     63,                0.30146,                0.23342,                0.95053,                0.99638,                      1,                  0.995,                0.94933,                0.31659,                0.24665,                0.73026,              0.0015169,              0.0015169,              0.0015169
                     64,                0.29686,                0.23489,                0.93395,                0.99151,                      1,                  0.995,                0.97134,                0.25835,                0.21139,                0.64314,               0.001509,               0.001509,               0.001509
                     65,                0.29827,                0.23621,                0.94767,                0.96605,                0.91935,                0.97749,                0.92939,                0.31208,                0.32379,                0.68101,               0.001501,               0.001501,               0.001501
                     66,                0.29919,                0.23429,                0.94483,                  0.992,                0.99967,                0.99492,                0.97107,                0.25076,                0.18766,                0.64296,              0.0014931,              0.0014931,              0.0014931
                     67,                0.28829,                0.22766,                0.93783,                0.99673,                0.99194,                  0.995,                0.97052,                0.26635,                0.21504,                0.64139,              0.0014852,              0.0014852,              0.0014852
