                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2264,                 1.6151,                  1.274,                0.66528,                0.50109,                0.58942,                0.43992,                 1.0958,                 1.1355,                 1.1365,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                  1.225,                 1.5129,                 1.2681,                0.66803,                0.54507,                0.61555,                0.45585,                 1.0855,                 1.1052,                 1.1287,              1.196e-05,              1.196e-05,              1.196e-05
                      3,                 1.2085,                 1.4481,                 1.2216,                0.67318,                0.55038,                0.62073,                0.46324,                 1.0815,                  1.091,                 1.1254,             9.3058e-06,             9.3058e-06,             9.3058e-06
